gender,age,degree,quallife,health,life,happy,income,confedvac,confedvacy,finalter,hlthphys,hlthmntl,satsoc,white,black,amer_indian_alaska,asian_indian,chinese,filipino,japenese,korean,vietnamese,oth_asian,native_hawaiian,guamanian_chamorro,samoan,oth_pacific_islander,oth_race,hispanic
Female,65,High School,Good,Good,Routine,Pretty Happy,NA,NA,NA,Stayed the same,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,60,Bachelors,Excellent,Good,NA,Pretty Happy,Refused,NA,NA,Getting better,Very Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Less than High School,NA,Fair,Exciting,Pretty Happy,Refused,NA,NA,Getting better,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Less than High School,NA,Poor,NA,Not too Happy,Refused,NA,NA,Getting worse,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,NA,High School,Very Good,Excellent,Routine,Very Happy,NA,Only some,NA,Getting better,Excellent,Very Good,Good,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,33,Bachelors,Good,Good,Exciting,Very Happy,NA,Only some,NA,Stayed the same,Good,Good,Good,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,20,High School,Very Good,Fair,NA,Pretty Happy,$25000 or more,Only some,NA,Getting worse,Good,Fair,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,NA,Graduates,Good,Good,Routine,Pretty Happy,$25000 or more,NA,Hardly any,Getting worse,Very Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,76,High School,Good,Good,NA,Not too Happy,$25000 or more,NA,Only some,Getting worse,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,61,Bachelors,Good,Fair,Exciting,Pretty Happy,$8000 to $9999,NA,NA,Getting better,Fair,Good,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
