gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
NA,43,Associate/Junior College,Good,Good,Routine,Pretty Happy,NA,Getting better,Good,Very Good,Good
Male,74,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
Female,42,Bachelors,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,63,Bachelors,Excellent,NA,NA,Very Happy,NA,Getting better,Excellent,Excellent,Good
Female,71,Graduates,Very Good,Excellent,Routine,Pretty Happy,NA,Stayed the same,Excellent,Very Good,Excellent
NA,67,Bachelors,Fair,Good,Routine,Not too Happy,NA,Getting worse,Good,Fair,Fair
NA,59,High School,Good,Good,Routine,Pretty Happy,$15000 to $19999,Stayed the same,Good,Very Good,Good
Female,43,High School,Good,Excellent,Dull,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Fair
Male,62,Less than High School,Fair,NA,NA,Not too Happy,$5000 to $5999,Getting worse,Fair,Fair,Fair
Female,55,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
NA,59,Graduates,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
Male,34,High School,Good,NA,NA,Pretty Happy,$20000 to $24999,Stayed the same,Good,Good,Fair
NA,61,High School,Fair,Poor,Routine,Not too Happy,$20000 to $24999,Getting worse,Poor,Fair,Good
Female,44,Bachelors,Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Very Good
Male,41,High School,Fair,NA,NA,Pretty Happy,$1000 to $2999,Getting worse,Fair,Fair,Very Good
NA,75,High School,Good,Good,Dull,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
Male,55,Bachelors,Fair,NA,NA,Not too Happy,$25000 or more,Getting worse,Fair,Fair,Good
NA,30,Bachelors,Very Good,Excellent,Routine,Very Happy,NA,Stayed the same,Excellent,Excellent,Very Good
Male,40,Graduates,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting worse,Excellent,Very Good,Good
Female,30,Graduates,Fair,NA,NA,Not too Happy,NA,Stayed the same,Fair,Good,Good
NA,34,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Very Good,Excellent
Male,29,Associate/Junior College,Good,Good,Routine,Pretty Happy,NA,Getting better,Good,Very Good,Good
Male,40,Associate/Junior College,Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Good,Good,Very Good
NA,37,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,56,Bachelors,Very Good,Good,Routine,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Good
NA,82,Less than High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Very Good,Very Good
NA,68,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,42,Less than High School,Very Good,Excellent,Routine,Not too Happy,$10000 to $14999,Stayed the same,Very Good,Very Good,Very Good
Male,40,High School,Very Good,NA,NA,Not too Happy,$25000 or more,Stayed the same,Fair,Good,Good
Female,20,High School,Excellent,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Excellent,Excellent,Very Good
NA,74,High School,Very Good,NA,NA,Pretty Happy,NA,Stayed the same,Fair,Very Good,Very Good
NA,89,Less than High School,Fair,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Fair,Good,Good
NA,60,Bachelors,Good,NA,NA,Pretty Happy,NA,Stayed the same,Good,Good,Good
NA,56,Bachelors,Good,Fair,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Fair,Good
Male,55,Less than High School,Excellent,NA,NA,Very Happy,NA,Getting better,Very Good,Excellent,Excellent
NA,65,Graduates,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,71,Graduates,Excellent,Fair,Exciting,Pretty Happy,$25000 or more,Stayed the same,Fair,Very Good,Good
Female,34,Graduates,Very Good,Good,Exciting,Not too Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,45,Graduates,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
NA,50,High School,Good,Good,NA,Pretty Happy,NA,Stayed the same,Good,Good,Good
Male,65,High School,Very Good,NA,NA,Pretty Happy,$10000 to $14999,Getting worse,Very Good,Very Good,Fair
NA,52,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Good,Good
Male,62,High School,Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Good,Good
